State,City,ZIP,Yard #
AK,ANCHORAGE,99501,113
AL,EIGHT MILE,36613,58
AL,HUEYTOWN,35023,136
AL,MONTGOMERY,36116,145
AL,TANNER,35671,66
AR,CONWAY,72032,21
AR,PRAIRIE GROVE,72753,140
AZ,PHOENIX,85043,47
AZ,TUCSON,85706,93
CA,BAKERSFIELD,93307,5
CA,COLTON,92324,7
CA,FRESNO,93725,4
CA,HAYWARD,94545,3
CA,LOS ANGELES,90001,10
CA,MARTINEZ,94553,78
CA,RANCHO CUCAMONGA,91739,97
CA,SACRAMENTO,95828,16
CA,SACRAMENTO,95828,2
CA,SAN DIEGO,92154,59
CA,SAN MARTIN,95046,6
CA,VALLEJO,94950,1
CA,VAN NUYS,91405,43
CO,BRIGHTON,80603,68
CO,COLORADO SPRINGS,80907,118
CO,DENVER,80229,120
CT,NEW BRITAIN,6051,23
DE,SEAFORD,19973,130
FL,FORT PIERCE,34946,86
FL,HOMESTEAD,33032,148
FL,JACKSONVILLE,32220,42
FL,JACKSONVILLE,32209,131
FL,MIAMI,33167,105
FL,MIAMI,33054,33
FL,MIDWAY,32343,117
FL,OCALA,34482,108
FL,ORLANDO,32822,55
FL,PUNTA GORDA,33982,137
FL,RIVERVIEW,33578,34
FL,WEST PALM BEACH,33411,70
GA,AUSTELL,30168,15
GA,CARTERSVILLE,30120,175
GA,ELLENWOOD,30294,146
GA,GAINESVILLE,30507,157
GA,LOGANVILLE,30052,107
GA,SAVANNAH,31405,87
GA,TIFTON,31794,88
HI,KAPOLEI,96707,110
IA,DES MOINES,50317,60
IA,ELDRIDGE,52748,169
IA,ELDRIDGE,52748,312
ID,NAMPA,83651,72
IL,CHICAGO HEIGHTS,60411,81
IL,ELGIN,60120,36
IL,PEKIN,61554,51
IL,WHEELING,60090,156
IN,HAMMOND,46320,167
IN,HARTFORD CITY,47348,152
IN,INDIANAPOLIS,46254,44
KS,KANSAS CITY,66111,17
KS,WICHITA,67216,67
KY,LAWRENCEBURG,40342,83
KY,LEXINGTON,40509,115
KY,LOUISVILLE,40272,143
KY,WALTON,41094,138
LA,GREENWELL SPRINGS,70739,50
LA,NEW ORLEANS,70129,79
LA,SHREVEPORT,71109,84
MA,MENDON,1756,27
MA,NORTH BILLERICA,1862,53
MA,WEST WARREN,1092,149
MD,FINKSBURG,21048,102
MD,WALDORF,20602,32
ME,LYMAN,4002,90
MI,DAVISON,48243,159
MI,KINCHELOE,49788,161
MI,LANSING,48917,103
MI,PORTLAND,48875,160
MI,WOODHAVEN,48183,61
MN,AVON,56310,52
MN,EAST BETHEL,55011,311
MN,FRIDLEY,55304,37
MN,HAM LAKE,55421,80
MO,BRIDGETON,63044,20
MO,COLUMBIA,65201,125
MO,ROGERSVILLE,65742,92
MO,SIKESTON,63801,141
MS,FLORENCE,39073,40
MT,BILLINGS,59101,122
MT,HELENA,59601,106
NC,CHINA GROVE,28023,41
NC,DUNN,28334,54
NC,MEBANE,27302,154
NE,GREENWOOD,68366,123
NH,CANDIA,3303,155
NJ,GLASSBORO,8028,31
NJ,HILLSBORO,8844,91
NJ,WINDSOR,8561,135
NM,ALBUQUERQUE,87105,75
NV,LAS VEGAS,89115,57
NV,RENO,89506,100
NY,ALBANY,12205,94
NY,BROOKHAVEN,11719,30
NY,CENTRAL SQUARE,13036,25
NY,LEROY,14482,35
NY,MARLBORO,12542,24
OH,COLUMBIA STATION,44028,112
OH,COLOMBUS,43207,29
OH,MORAINE,45439,166
OH,NORTHFIELD,44067,111
OK,OKLAHOMA CITY,73129,18
OK,TULSA,74107,19
OR,EUGENE,97402,104
OR,PORTLAND,97218,9
OR,WOODBURN,97071,134
PA,ADAMSBURG,15611,165
PA,CHAMBERSBURG,17201,128
PA,DURYEA,18642,142
PA,EBENSBURG,15931,129
PA,ELLWOOD CITY,16117,28
PA,GRANTVILLE,17028,76
PA,PENNSBURG,18073,26
PA,CHALFONT,18914,164
PA,WEST MIFFLIN,15122,85
PA,YORK HAVEN,17370,127
SC,GASTON,29053,56
SC,GREER,29651,144
TN,LEBANON,37090,63
TN,MADISONVILLE,37354,114
TN,MEMPHIS,38118,22
TX,ABILENE,79601,73
TX,AMARILLO,79118,95
TX,ANTHONY,79821,45
TX,CORPUS CHRISTI,78403,96
TX,GRAND PRAIRIE,75051,12
TX,HASLET,76052,98
TX,HOUSTON,77073,11
TX,LONGVIEW,75603,14
TX,LUFKIN,75904,13
TX,MERCEDES,78570,65
TX,NEW BRAUNFELS,78130,62
TX,SAN ANTONIO,78224,74
TX,TEMPLE,76501,182
TX,WILMER,75172,181
UT,NORTH SALT LAKE,84045,49
VA,CHATHAM,24531,82
VA,HAMPTON,23666,162
VA,SANDSTON,23150,139
WA,AIRWAY HEIGHTS,99001,116
WA,ARLINGTON,98223,48
WA,GRAHAM,98338,64
WA,PASCO,99301,71
WI,CUDAHY,53110,39
WI,MADISON,53718,38
WV,HURRICANE,25526,89
